Scrip Symbol,DeliveryNet,DeliveryGross,IntradayNet,IntradayGross,TotalNet
NEPHROPLUS,-66.17,-33.6,889.22,971.95,823.0500000000001
BALAJEE,829.83,944.0,0.0,0.0,829.83
NIVABUPA,866.18,901.0,0.0,0.0,866.18
VIKRAN,334.56,367.2,551.4,601.48,885.96
TTML,0.0,0.0,900.49,946.0,900.49
SALZERELEC,1170.95,1412.05,-252.93999999999983,33.20000000000027,918.0100000000002
LEAPIND,-47.12,-10.8,1134.71,1333.4,1087.5900000000001
STYLEBAAZA,0.0,0.0,1144.9,1232.5,1144.9
INDOBORAX,667.68,988.66,560.56,1187.85,1228.2399999999998
ECOSMOBLTY,0.0,0.0,1356.8,1591.75,1356.8
ARSSBL,132.7,231.35,1250.66,1455.5,1383.3600000000001
MVELECTRO,133.21,161.5,1303.02,1492.8,1436.23
GODIGIT,1498.75,1540.0,0.0,0.0,1498.75
HDBFS,1556.32,1651.7,-9.74,-5.25,1546.58
BAJAJ-AUTO,1756.21,1825.1,0.0,0.0,1756.21
BELRISE,1682.95,1817.0,244.51999999999998,289.0,1927.47
DOMS,-1191.44,-147.85,3138.6299999999997,4909.75,1947.1899999999996
ALLTIME,1034.03,1143.1,1043.21,1112.5,2077.24
CRIZAC,0.0,0.0,2085.12,2244.97,2085.12
AEQUS,0.0,0.0,2088.88,2221.98,2088.88
ICICIAMC,2575.41,2610.0,0.0,0.0,2575.41
WIPRO,-2103.46,-1195.36,5532.67,6176.2300000000005,3429.21
GROWW,-669.68,-636.67,4201.01,5123.469999999999,3531.3300000000004
RVNL,1251.73,1440.75,2379.71,2438.75,3631.44
BHARTIHEXA,4765.63,4810.0,0.0,0.0,4765.63
EMCURE,5164.64,5208.0,0.0,0.0,5164.64
LAXMIDENTL,-12090.67,-11318.56,18344.36,19581.6,6253.6900000000005
VMM,4425.31,4815.5,2525.21,3063.8,6950.52
INDOMIM,10344.77,10815.85,-2122.67,-489.75000000000006,8222.1
BSE,10619.27,12406.05,164.55999999999977,2241.55,10783.83
BHARATCOAL,10011.5,10287.97,844.77,1089.0,10856.27
UNIMECH,10787.87,10838.55,1338.54,1412.25,12126.41
PREMIERENE,12846.96,13353.3,1582.3600000000001,1735.9,14429.32
SAILIFE,32397.1,32583.0,-16707.16,-16584.95,15689.939999999999
BAJAJHFL,14868.91,15272.84,1799.78,1914.6100000000001,16668.69
INFY,17937.96,18845.7,-195.27999999999997,844.8,17742.68
